Provider,Policy URL,Industry,Source,Date,Status,Score,GDPR Score,Graph Kind,Pipeline Status,Pipeline Errors
Hartford (The),https://www.thehartford.com/online-privacy-policy,Financials,pdf,2025-09-05,False,,,none,pending,[]
Hartford (The),https://www.thehartford.com/online-privacy-policy,Financials,webpage,2025-09-05,False,,,none,pending,[]
Hartford (The),./output/data/TheHartford.pdf,Financials,pdf,2025-10-30,True,62.5,74.0,standard,succeeded,[]
Henry Schein,https://www.henryschein.com/us-en/Privacy.aspx?PageType=popup#,Healthcare,pdf,2025-09-05,False,,,none,pending,[]
Henry Schein,https://www.henryschein.com/us-en/Privacy.aspx?PageType=popup#,Healthcare,webpage,2025-09-05,False,,,none,pending,[]
Henry Schein,./output/data/HenrySchein.pdf,Healthcare,pdf,2025-10-30,False,,,none,failed,"[{""message"": ""Graph generation failed: Page.evaluate: Readability.js failed to parse the document\n@debugger eval code line 226 > eval:7:23\nevaluate@debugger eval code:233:19\n@debugger eval code:1:44"", ""timestamp"": ""2025-11-15T02:43:08.656737+00:00""}, {""message"": ""Graph generation error: Page.evaluate: Readability.js failed to parse the document\n@debugger eval code line 226 > eval:7:23\nevaluate@debugger eval code:233:19\n@debugger eval code:1:44"", ""timestamp"": ""2025-11-15T02:43:08.656883+00:00""}]"
Hewlett Packard Enterprise,https://www.hpe.com/us/en/legal/privacy.html,Information Technology,pdf,2025-09-05,False,,,none,pending,[]
Hewlett Packard Enterprise,https://www.hpe.com/us/en/legal/privacy.html,Information Technology,webpage,2025-09-05,False,,,none,pending,[]
Hewlett Packard Enterprise,./output/data/HPE.pdf,Information Technology,pdf,2025-10-30,True,83.3,99.6,standard,succeeded,[]
Hologic,https://www.hologic.com/privacy-policy,Healthcare,pdf,2025-09-05,True,62.5,96.6,standard,succeeded,[]
Hologic,https://www.hologic.com/privacy-policy,Healthcare,webpage,2025-09-05,True,62.5,71.6,standard,succeeded,[]
Hologic,./output/data/Hologic.pdf,Healthcare,pdf,2025-10-30,True,62.5,68.3,standard,succeeded,[]
Humana,https://www.humana.com/legal/privacy-policy,Healthcare,pdf,2025-09-05,True,83.3,81.4,standard,succeeded,[]
Humana,https://www.humana.com/legal/privacy-policy,Healthcare,webpage,2025-09-05,False,,,none,pending,[]
Humana,./output/data/Humana.pdf,Healthcare,pdf,2025-10-30,True,83.3,82.2,standard,succeeded,[]
Huntington Bancshares,https://www.huntington.com/-/media/pdf/privacypolicy.pdf,Financials,pdf,2025-09-05,False,,,none,pending,[]
Huntington Bancshares,https://www.huntington.com/-/media/pdf/privacypolicy.pdf,Financials,webpage,2025-09-05,False,,,none,pending,[]
Huntington Bancshares,./output/data/Huntington.pdf,Financials,pdf,2025-10-30,True,66.7,70.6,standard,succeeded,[]
IBM,https://www.ibm.com/us-en/privacy,Information Technology,pdf,2025-09-05,True,87.5,82.8,standard,succeeded,[]
IBM,https://www.ibm.com/us-en/privacy,Information Technology,webpage,2025-09-05,True,87.5,81.0,standard,succeeded,[]
IBM,./output/data/IBM.pdf,Information Technology,pdf,2025-10-30,True,87.5,81.2,standard,succeeded,[]
IQVIA,https://www.iqvia.com/about-us/privacy/privacy-policy,Healthcare,pdf,2025-09-05,False,,,none,pending,[]
IQVIA,https://www.iqvia.com/about-us/privacy/privacy-policy,Healthcare,webpage,2025-09-05,True,79.2,81.2,standard,succeeded,[]
IQVIA,./output/data/IQVIA.pdf,Healthcare,pdf,2025-10-30,True,79.2,82.9,standard,succeeded,[]
Idexx Laboratories,https://www.idexx.com/en/about-idexx/privacy-policy/,Healthcare,pdf,2025-09-05,False,,,none,pending,[]
Idexx Laboratories,https://www.idexx.com/en/about-idexx/privacy-policy/,Healthcare,webpage,2025-09-05,False,,,none,pending,[]
Idexx Laboratories,./output/data/IDEXX.pdf,Healthcare,pdf,2025-10-30,True,75.0,96.8,standard,succeeded,[]
Incyte,https://incyte.com/privacy-policy,Healthcare,pdf,2025-09-05,True,37.5,39.9,standard,succeeded,[]
Incyte,https://incyte.com/privacy-policy,Healthcare,webpage,2025-09-05,True,79.2,72.4,standard,succeeded,[]
Incyte,./output/data/Incyte.pdf,Healthcare,pdf,2025-10-30,True,70.8,89.4,standard,succeeded,[]
Insulet Corporation,https://www.insulet.com/privacy-policy,Healthcare,pdf,2025-09-05,True,70.8,96.6,standard,succeeded,[]
Insulet Corporation,https://www.insulet.com/privacy-policy,Healthcare,webpage,2025-09-05,True,62.5,83.2,standard,succeeded,[]
Insulet Corporation,./output/data/Insulet.pdf,Healthcare,pdf,2025-10-30,True,62.5,82.5,standard,succeeded,[]
Intel,https://www.intel.com/content/www/us/en/privacy/intel-privacy-notice.html,Information Technology,pdf,2025-09-05,True,54.2,99.7,standard,succeeded,[]
